POI_NM,CL_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,RDNMADR_NM
간절곶등대,일반관광지,울산광역시,울주군,서생면,대송리,간절곶1길
고인돌공원,천연기념물,전라남도,순천시,송광면,우산리,
삼청동길,일반관광지,서울특별시,종로구,삼청동,,
선진전위치료기,일반관광지,광주광역시,북구,문흥동,,서하로
설악산국립공원설악동탐방지원센터,관광안내소/매표소,강원특별자치도,속초시,설악동,,설악산로
통영삼도수군통제영,유명사적/유적지,경상남도,통영시,문화동,,세병로
서울영어마을,영어마을,서울특별시,강북구,수유동,,삼각산로
창원의집,일반관광지,경상남도,창원시 의창구,사림동,,사림로16번길
금성관,유명사적/유적지,전라남도,나주시,과원동,,금성관길
헤모수불가마,일반관광지,경기도,용인시 수지구,풍덕천동,,풍덕천로
설성인형마을,먹거리/패션거리,충청북도,음성군,원남면,문암리,충청대로
황기모아황토염색체험장,일반관광지,전라남도,구례군,구례읍,계산리,하유길
원숭이학교,동물원,전라북도,부안군,상서면,감교리,부안로
어린이대공원매표소,관광안내소/매표소,서울특별시,광진구,능동,,능동로
연세대학교신촌캠퍼스매표소,관광안내소/매표소,서울특별시,서대문구,신촌동,,연세로
의림파크랜드,테마공원/대형놀이공원,충청북도,제천시,모산동,,의림지로
팔각정,비/탑/문/각,전라북도,진안군,주천면,대불리,
내장산관광테마파크,테마공원/대형놀이공원,전라북도,정읍시,부전동,,내장산로
법천사지,유명사적/유적지,강원특별자치도,원주시,부론면,법천리,
앵남역(폐역),일반관광지,전라남도,화순군,화순읍,앵남리,지강로
김유정역(폐역),일반관광지,강원특별자치도,춘천시,신동면,증리,김유정로
의암역(폐역),일반관광지,강원특별자치도,춘천시,신동면,의암리,
구절리역(폐역),일반관광지,강원특별자치도,정선군,여량면,구절리,노추산로
구룡역(폐역),일반관광지,전라남도,순천시,별량면,구룡리,
진성역(폐역),일반관광지,경상남도,진주시,진성면,구천리,진성로259번길
죽동역(폐역),일반관광지,경상북도,경주시,외동읍,죽동리,죽동앞길
병영성홍교,유명사적/유적지,전라남도,강진군,병영면,성남리,홍교로
대왕교,일반관광지,울산광역시,동구,일산동,,
전망대휴게소,일반관광지,경상남도,남해군,미조면,송정리,
코오롱휴양소,일반관광지,경상북도,경주시,양남면,수렴리,지경길
문장대휴게소,일반관광지,경상북도,상주시,화북면,장암리,문장대2길
팔왕휴게소,일반관광지,경상북도,문경시,문경읍,상초리,새재로
함백산관광안내소,관광안내소/매표소,강원특별자치도,정선군,고한읍,고한리,금대봉길
연단굴,유명사적/유적지,충청북도,단양군,대강면,직티리,
횡성먹거리단지,먹거리/패션거리,강원특별자치도,횡성군,횡성읍,곡교리,
옥지기,일반관광지,강원특별자치도,횡성군,서원면,옥계리,
적벽강,일반관광지,전라북도,부안군,변산면,격포리,
신명지,유명사적/유적지,제주특별자치도,제주시,애월읍,봉성리,
인천영어마을,영어마을,인천광역시,서구,당하동,,원당대로
강원특별자치도립화목원,식물원,강원특별자치도,춘천시,사농동,,화목원길
동화사관광단지동화사매표소,관광안내소/매표소,대구광역시,동구,용수동,,동화사1길
국립가리왕산자연휴양림매표소,관광안내소/매표소,강원특별자치도,정선군,정선읍,회동리,가리왕산로
고씨동굴매표소,관광안내소/매표소,강원특별자치도,영월군,김삿갓면,진별리,영월동로
한산도이충무공유적매표소,관광안내소/매표소,경상남도,통영시,한산면,두억리,한산일주로
도리사매표소,관광안내소/매표소,경상북도,구미시,해평면,송곡리,
서마니관광농원,관광농원/허브마을,강원특별자치도,원주시,신림면,송계리,송계로
조령산자연휴양림조령산매표소,관광안내소/매표소,충청북도,괴산군,연풍면,원풍리,새재로
푸른솔관광농원,관광농원/허브마을,강원특별자치도,양구군,양구읍,석현리,소양호로
장령산자연휴양림후문매표소,관광안내소/매표소,충청북도,옥천군,군서면,금산리,장령산로
지리산국립공원천은탐방지원센터,관광안내소/매표소,전라남도,구례군,광의면,방광리,
뚝섬한강공원뚝섬안내센터,관광안내소/매표소,서울특별시,광진구,자양동,,강변북로
삼천탐방지원센터,관광안내소/매표소,서울특별시,은평구,진관동,,연서로54길
유어선매표소,관광안내소/매표소,제주특별자치도,제주시,구좌읍,종달리,해맞이해안로
동산물감귤체험농장,관광농원/허브마을,제주특별자치도,서귀포시,성산읍,수산리,서성일로
화흥포매표소,관광안내소/매표소,전라남도,완도군,완도읍,정도리,
월출산국립공원도갑분소,관광안내소/매표소,전라남도,영암군,군서면,도갑리,도갑사로
신도선착장신도매표소,관광안내소/매표소,인천광역시,옹진군,북도면,신도리,신도로
경주불국사매표소,관광안내소/매표소,경상북도,경주시,진현동,,불국로
국립칠보산자연휴양림매표소,관광안내소/매표소,경상북도,영덕군,병곡면,영리,칠보산길
순직선원위령탑,비/탑/문/각,부산광역시,영도구,동삼동,,하리동길
삼척시어린이과학놀이체험관,팜스테이,강원특별자치도,삼척시,성남동,,엑스포로
죽전로데오거리,먹거리/패션거리,경기도,용인시 수지구,죽전동,,
북마산가구거리,먹거리/패션거리,경상남도,창원시 마산합포구,중성동,,
돌산갓김치체험장,일반관광지,전라남도,여수시,돌산읍,죽포리,방죽포길
부대찌개거리,먹거리/패션거리,경기도,의정부시,의정부동,,호국로1309번길
춘천명동거리,먹거리/패션거리,강원특별자치도,춘천시,중앙로2가,,중앙로
닭갈비거리,먹거리/패션거리,강원특별자치도,춘천시,온의동,,
남산공원남산케이블카,유명관광지,서울특별시,중구,회현동1가,,소파로
동인천삼치거리,먹거리/패션거리,인천광역시,중구,인현동,,자유공원로
모둘자리힐링체험마을,관광농원/허브마을,강원특별자치도,홍천군,서석면,검산리,검산길
예술촌,관광농원/허브마을,강원특별자치도,홍천군,서석면,검산리,구룡령로
청일관광농원,관광농원/허브마을,강원특별자치도,횡성군,청일면,속실리,속실길
옥수골농원,관광농원/허브마을,강원특별자치도,화천군,사내면,광덕리,천문대길
한국민속촌다모드라마촬영지,드라마/영화촬영지,경기도,용인시 기흥구,보라동,,민속촌로
금학산관광농원,관광농원/허브마을,강원특별자치도,홍천군,북방면,역전평리,팔봉산로
매산관광농원,관광농원/허브마을,강원특별자치도,원주시,흥업면,매지리,분지동1길
포항아트타운,일반관광지,경상북도,포항시 북구,환호동,,해안로
신당동떡볶이골목,먹거리/패션거리,서울특별시,중구,신당동,,
해양공원매표소,관광안내소/매표소,경상남도,창원시 진해구,명동,,
운암먹거리,먹거리/패션거리,대구광역시,북구,구암동,,
압구정로데오거리,먹거리/패션거리,서울특별시,강남구,신사동,,
문정로데오거리,먹거리/패션거리,서울특별시,송파구,가락동,,
신림동순대골목,먹거리/패션거리,서울특별시,관악구,신림동,,
가리봉로데오거리,먹거리/패션거리,서울특별시,금천구,가산동,,
인사동거리,먹거리/패션거리,서울특별시,종로구,관훈동,,
장충동족발골목,먹거리/패션거리,서울특별시,중구,장충동1가,,장충단로
일산애니골까페촌,먹거리/패션거리,경기도,고양시 일산동구,풍동,,애니골길
광릉세조와정희왕후매표소,관광안내소/매표소,경기도,남양주시,진접읍,부평리,광릉수목원로
선돌,일반관광지,강원특별자치도,영월군,영월읍,방절리,
장통교,일반관광지,서울특별시,중구,삼각동,,
수표교,일반관광지,서울특별시,종로구,관수동,,
새벽다리,일반관광지,서울특별시,종로구,예지동,,
나래교,일반관광지,서울특별시,종로구,종로5가,,
맑은내다리,일반관광지,서울특별시,종로구,창신동,,
문화의거리,먹거리/패션거리,인천광역시,부평구,부평동,,부평문화로
팜스테이펜션,팜스테이,제주특별자치도,서귀포시,호근동,,
임진강폭포어장,일반관광지,경기도,파주시,파평면,덕천리,청송로
초월면가구거리,먹거리/패션거리,경기도,광주시,초월읍,쌍동리,
로데오타운거리,먹거리/패션거리,대구광역시,수성구,범어동,,
달맞이고개,먹거리/패션거리,부산광역시,해운대구,중동,,달맞이길
로데오거리,먹거리/패션거리,경기도,고양시 일산동구,장항동,,
주왕산국립공원상의매표소,관광안내소/매표소,경상북도,청송군,주왕산면,상의리,
태안군관광안내소,관광안내소/매표소,충청남도,태안군,남면,당암리,천수만로
광통교,일반관광지,서울특별시,종로구,서린동,,
수원관광안내소,관광안내소/매표소,경기도,수원시 팔달구,매산로1가,,덕영대로
도깨비도로,일반관광지,경기도,의왕시,청계동,,
진도신비의바닷길,일반관광지,전라남도,진도군,고군면,금계리,
평촌로데오,먹거리/패션거리,경기도,안양시 동안구,평촌동,,
한라산국립공원성판악매표소,관광안내소/매표소,제주특별자치도,제주시,조천읍,교래리,516로
설악산국립공원남설악탐방지원센터,관광안내소/매표소,강원특별자치도,양양군,서면,오색리,
지리산국립공원화엄사통제소,관광안내소/매표소,전라남도,구례군,마산면,황전리,연기암길
불광동먹자골목,먹거리/패션거리,서울특별시,은평구,불광동,,불광로
모래시계공원,유명관광지,강원특별자치도,강릉시,강동면,정동진리,
해신당먹거리골목,먹거리/패션거리,강원특별자치도,삼척시,원덕읍,갈남리,
건어물특산물거리,먹거리/패션거리,강원특별자치도,삼척시,원덕읍,임원리,임원항구로
먹거리타운,먹거리/패션거리,경기도,시흥시,정왕동,,군서마을로
한주먹자골목,먹거리/패션거리,강원특별자치도,춘천시,퇴계동,,지석로
대둔산도립공원매표소,관광안내소/매표소,전라북도,완주군,운주면,산북리,대둔산공원길
무릉계곡매표소,관광안내소/매표소,강원특별자치도,동해시,삼화동,,삼화로
아라리촌,먹거리/패션거리,강원특별자치도,정선군,정선읍,애산리,애산로
화암동굴매표소,관광안내소/매표소,강원특별자치도,정선군,화암면,화암리,화암동굴길
갑곶돈대순교성지,천연기념물,인천광역시,강화군,강화읍,갑곳리,해안동로1366번길
지리산국립공원구룡탐방지원센터,관광안내소/매표소,전라북도,남원시,주천면,호경리,정령치로
대천필랜드,일반유원지/일반놀이공원,충청남도,보령시,신흑동,,대해로
불정자연휴양림매표소,관광안내소/매표소,경상북도,문경시,불정동,,
체인지업캠퍼스,유명관광지,경기도,파주시,탄현면,법흥리,얼음실로
물의거리,먹거리/패션거리,전라북도,부안군,부안읍,봉덕리,
구복예술촌,일반관광지,경상남도,창원시 마산합포구,구산면,구복리,해양관광로
태백산국립공원백단사매표소,관광안내소/매표소,강원특별자치도,태백시,혈동,,백단사길
제주돌마을공원,일반관광지,제주특별자치도,제주시,한림읍,금능리,금능남로
세병관,국보,경상남도,통영시,문화동,,세병로
연개소문촬영지,드라마/영화촬영지,경상북도,문경시,가은읍,왕능리,
송정관광안내소,관광안내소/매표소,부산광역시,해운대구,송정동,,송정해변로
해장국거리,먹거리/패션거리,경상북도,경주시,황오동,,쪽샘길
매운탕단지,먹거리/패션거리,경상북도,경주시,안강읍,두류리,
가리왕산관광농원,관광농원/허브마을,강원특별자치도,정선군,정선읍,회동리,청량길
아로마허브동산,관광농원/허브마을,강원특별자치도,홍천군,화촌면,장평리,
한국인삼주마을,먹거리/패션거리,경기도,안성시,가사동,,
사담팜스테이마을,팜스테이,충청북도,괴산군,청천면,사담리,괴산로사담1길
선유동계곡,폭포/계곡,충청북도,괴산군,청천면,관평리,
사기막골도예촌,일반관광지,경기도,이천시,사음동,,경충대로
안동하회마을민박촌,먹거리/패션거리,경상북도,안동시,풍천면,하회리,하회종가길
안면도펜션촌,먹거리/패션거리,충청남도,태안군,안면읍,승언리,
흥정계곡펜션촌,먹거리/패션거리,강원특별자치도,평창군,봉평면,흥정리,
반포치킨거리,먹거리/패션거리,서울특별시,서초구,반포동,,주흥길
성신여대패션거리,먹거리/패션거리,서울특별시,성북구,동선동1가,,동소문로22길
삼각지대구탕골목,먹거리/패션거리,서울특별시,용산구,용산동3가,,한강대로62나길
의정부가구거리,먹거리/패션거리,경기도,의정부시,의정부동,,태평로
마산복요리거리,먹거리/패션거리,경상남도,창원시 마산합포구,오동동,,오동동3길
송정떡갈비거리,먹거리/패션거리,광주광역시,광산구,송정동,,
자동차용품거리,먹거리/패션거리,서울특별시,성동구,용답동,,
명동닭갈비골목,먹거리/패션거리,강원특별자치도,춘천시,조양동,,금강로62번길
여주도예촌,먹거리/패션거리,경기도,여주시,천송동,,
영산포홍어거리,먹거리/패션거리,전라남도,나주시,영산동,,
안면도대하촌,먹거리/패션거리,충청남도,태안군,안면읍,창기리,
정읍산외한우거리,먹거리/패션거리,전라북도,정읍시,산외면,동곡리,
부산해운대모텔촌,먹거리/패션거리,부산광역시,해운대구,우동,,구남로
율촌문화마을,먹거리/패션거리,전라남도,여수시,율촌면,가장리,가장문화길
양수리카페촌,먹거리/패션거리,경기도,남양주시,화도읍,금남리,북한강로1376번길
곰소젓갈시장,먹거리/패션거리,전라북도,부안군,진서면,곰소리,곰소6길
홍천화로구이촌,먹거리/패션거리,강원특별자치도,홍천군,홍천읍,하오안리,
가리산자연휴양림매표소,관광안내소/매표소,강원특별자치도,홍천군,두촌면,천현리,가리산길
산내매표소,관광안내소/매표소,경상남도,밀양시,산내면,남명리,얼음골로
가지산도립공원얼음골매표소,관광안내소/매표소,경상남도,밀양시,산내면,남명리,
간월자연휴양림매표소,관광안내소/매표소,울산광역시,울주군,상북면,등억알프스리,등억알프스로
강천산군립공원매표소,관광안내소/매표소,전라북도,순창군,팔덕면,청계리,
고사포해수욕장매표소,관광안내소/매표소,전라북도,부안군,변산면,운산리,
구곡폭포매표소,관광안내소/매표소,강원특별자치도,춘천시,남산면,강촌리,강촌구곡길
금강공원매표소,관광안내소/매표소,부산광역시,동래구,온천동,,우장춘로
얼음골유원지매표소,관광안내소/매표소,충청북도,제천시,수산면,능강리,옥순봉로12길
내원사매표소,관광안내소/매표소,경상남도,양산시,하북면,용연리,내원로
앞산공원케이블카매표소,관광안내소/매표소,대구광역시,남구,봉덕동,,앞산순환로
마이산도립공원북부매표소,관광안내소/매표소,전라북도,진안군,진안읍,단양리,
모악산도립공원금산사매표소,관광안내소/매표소,전라북도,김제시,금산면,금산리,모악로
박달재자연휴양림매표소,관광안내소/매표소,충청북도,제천시,백운면,평동리,금봉로
내소사매표소,관광안내소/매표소,전라북도,부안군,진서면,석포리,
불영사매표소,관광안내소/매표소,경상북도,울진군,금강송면,하원리,불영사길
서오릉매표소,관광안내소/매표소,경기도,고양시 덕양구,용두동,,서오릉로
성주봉자연휴양림매표소,관광안내소/매표소,경상북도,상주시,은척면,남곡리,
소백산국립공원남부지소매표소,관광안내소/매표소,경상북도,영주시,풍기읍,수철리,
부석사매표소,관광안내소/매표소,경상북도,영주시,부석면,북지리,
자수정동굴나라매표소,관광안내소/매표소,울산광역시,울주군,상북면,등억알프스리,자수정로
오대산국립공원소금강탐방지원센터,관광안내소/매표소,강원특별자치도,강릉시,연곡면,삼산리,
용연동굴매표소,관광안내소/매표소,강원특별자치도,태백시,화전동,,태백로
장전계곡매표소,관광안내소/매표소,강원특별자치도,평창군,진부면,장전리,장전길
주왕산국립공원월외탐방지원센터,관광안내소/매표소,경상북도,청송군,청송읍,월외리,
주전골매표소,관광안내소/매표소,강원특별자치도,양양군,서면,오색리,약수길
중미산자연휴양림제2매표소,관광안내소/매표소,경기도,양평군,옥천면,신복리,중미산로
천동동굴매표소,관광안내소/매표소,충청북도,단양군,단양읍,천동리,천동2길
천은사매표소,관광안내소/매표소,강원특별자치도,원주시,귀래면,귀래리,
천지연폭포매표소,관광안내소/매표소,제주특별자치도,서귀포시,서홍동,,남성중로
청량산도립공원매표소,관광안내소/매표소,경상북도,봉화군,명호면,북곡리,
최참판댁매표소,관광안내소/매표소,경상남도,하동군,악양면,평사리,평사리길
태백산국립공원당골매표소,관광안내소/매표소,강원특별자치도,태백시,소도동,,천제단길
태백산국립공원유일사매표소,관광안내소/매표소,강원특별자치도,태백시,혈동,,태백산로
태종대매표소,관광안내소/매표소,부산광역시,영도구,동삼동,,
국립통고산자연휴양림매표소,관광안내소/매표소,경상북도,울진군,금강송면,쌍전리,불영계곡로
통도사매표소,관광안내소/매표소,경상남도,양산시,하북면,지산리,통도사로
팔영산자연휴양림매표소,관광안내소/매표소,전라남도,고흥군,영남면,우천리,팔영로
안동하회마을매표소,관광안내소/매표소,경상북도,안동시,풍천면,하회리,하회종가길
잠실한강공원잠실지구매표소,관광안내소/매표소,서울특별시,송파구,잠실동,,한가람로
한라산국립공원영실매표소,관광안내소/매표소,제주특별자치도,서귀포시,하원동,,영실로
화왕산군립공원옥천매표소,관광안내소/매표소,경상남도,창녕군,창녕읍,옥천리,계성화왕산로
화왕산군립공원매표소,관광안내소/매표소,경상남도,창녕군,창녕읍,말흘리,자하곡길
횡성자연휴양림매표소,관광안내소/매표소,강원특별자치도,횡성군,갑천면,포동리,정포로430번길
화정영어마을,영어마을,경기도,안산시 단원구,화정동,,꽃우물길
인천서구영어마을,영어마을,인천광역시,서구,원당동,,원당대로
대교유람선매표소,관광안내소/매표소,경상남도,사천시,대방동,,
문동폭포매표소,관광안내소/매표소,경상남도,거제시,문동동,,
박태성묘,유명사적/유적지,경기도,고양시 덕양구,효자동,,북한산로
포충사,서원/향교/서당,광주광역시,남구,원산동,,포충로
꾸러기농장,일반관광지,인천광역시,서구,가정동,,
충익사,비/탑/문/각,경상남도,의령군,의령읍,중동리,
호롱불마을,정보화마을,전라북도,무주군,설천면,기곡리,기곡1길
쌍용계곡,폭포/계곡,경상북도,문경시,농암면,내서리,
예술의거리,먹거리/패션거리,광주광역시,동구,궁동,,
동원매표소,관광안내소/매표소,충청남도,공주시,반포면,학봉리,동월1길
상신매표소,관광안내소/매표소,충청남도,공주시,반포면,상신리,상하신길
서창매표소,관광안내소/매표소,전라북도,무주군,적상면,사천리,
밤골통제소,관광안내소/매표소,경기도,고양시 덕양구,효자동,,북한산로
아카데미탐방지원센터,관광안내소/매표소,서울특별시,강북구,수유동,,4.19로31길
북한산둘레길탐방안내센터,관광안내소/매표소,서울특별시,강북구,수유동,,4.19로28길
진관공원지킴터,관광안내소/매표소,서울특별시,은평구,진관동,,진관길
다도해해상국립공원여수탐방지원센터,관광안내소/매표소,전라남도,여수시,돌산읍,율림리,향일암로
상관평매표소,관광안내소/매표소,충청북도,괴산군,청천면,관평리,관평4길
오대산국립공원진고개탐방지원센터,관광안내소/매표소,강원특별자치도,평창군,대관령면,병내리,진고개로
도갑사매표소,관광안내소/매표소,전라남도,영암군,군서면,도갑리,도갑사로
내원사내원매표소,관광안내소/매표소,경상남도,산청군,삼장면,대포리,대하내원로
지리산국립공원성삼재탐방지원센터,관광안내소/매표소,전라남도,구례군,산동면,좌사리,
지리산국립공원백무동탐방지원센터,관광안내소/매표소,경상남도,함양군,마천면,강청리,백무동로
지리산국립공원삼성궁매표소,관광안내소/매표소,경상남도,하동군,청암면,묵계리,청학로
치악산국립공원금대탐방지원센터,관광안내소/매표소,강원특별자치도,원주시,판부면,금대리,영원산성길
한라산국립공원어리목매표소,관광안내소/매표소,제주특별자치도,제주시,해안동,,1100로
가지산도립공원가지산매표소,관광안내소/매표소,경상남도,밀양시,산내면,삼양리,
대둔산도립공원수락지구매표소,관광안내소/매표소,충청남도,논산시,벌곡면,수락리,수락계곡길
대둔산도립공원행정지구매표소,관광안내소/매표소,충청남도,금산군,진산면,행정리,청림동로
송광사매표소,관광안내소/매표소,전라남도,순천시,송광면,신평리,송광사안길
천관산도립공원매표소,관광안내소/매표소,전라남도,장흥군,관산읍,옥당리,천관산길
팔공산매표소,관광안내소/매표소,경상북도,경산시,와촌면,대한리,갓바위로
은해사매표소,관광안내소/매표소,경상북도,영천시,청통면,치일리,은해사로
대이리군립공원대이리매표소,관광안내소/매표소,강원특별자치도,삼척시,신기면,대이리,
용추계곡매표소,관광안내소/매표소,경상북도,문경시,가은읍,완장리,
어촌체험상황실,관광안내소/매표소,전라남도,해남군,송지면,통호리,사구미길
와인터널,유명관광지,경상북도,청도군,화양읍,송금리,송금길
용대리황태마을,먹거리/패션거리,강원특별자치도,인제군,북면,용대리,
강원숲체험장,휴양림/수목원,강원특별자치도,춘천시,서면,오월리,납실길
원조닭똥집골목,먹거리/패션거리,대구광역시,동구,신암동,,
단양관광안내소,관광안내소/매표소,충청북도,단양군,단양읍,고수리,
월미문화의거리,먹거리/패션거리,인천광역시,중구,북성동1가,,월미문화로
오천결사대탑,천연기념물,충청남도,부여군,부여읍,동남리,
북항관광안내소,관광안내소/매표소,전라남도,목포시,죽교동,,북항로
두물머리,유명관광지,경기도,양평군,양서면,양수리,
패션문화의거리,먹거리/패션거리,서울특별시,관악구,신림동,,신림로
피아노폭포,일반관광지,경기도,남양주시,화도읍,금남리,
백제문화단지,일반관광지,충청남도,부여군,규암면,합정리,백제문로
어량마을,정보화마을,전라북도,익산시,망성면,어량리,
상무지구먹자골목,먹거리/패션거리,광주광역시,서구,치평동,,
성남영어마을,영어마을,경기도,성남시 분당구,율동,,새마을로
관광안내소,관광안내소/매표소,서울특별시,서대문구,대현동,,
정부과천청사과천식물원,식물원,경기도,과천시,중앙동,,홍촌말로
피나클랜드,휴양림/수목원,충청남도,아산시,영인면,월선리,월선길
왕피천휴양농원,관광농원/허브마을,경상북도,울진군,근남면,구산리,왕피천로
성령대군묘,유명사적/유적지,경기도,고양시 덕양구,대자동,,
웅진농원,관광농원/허브마을,충청남도,공주시,사곡면,계실리,계실길
죽도보물섬관광지,일반관광지,충청남도,보령시,남포면,월전리,
원원사지,유명사적/유적지,경상북도,경주시,외동읍,모화리,모화북1길
괘릉,유명사적/유적지,경상북도,경주시,외동읍,괘릉리,
나비고을예술인촌,관광농원/허브마을,전라남도,함평군,함평읍,석성리,돌머리길
영산호관광안내소,관광안내소/매표소,전라남도,목포시,옥암동,,녹색로
관광안내소,관광안내소/매표소,전라남도,목포시,대양동,,영산로
패러글라이딩활공장,일반관광지,경상남도,남해군,서면,노구리,남서대로2240번길
해오름예술촌,일반관광지,경상남도,남해군,삼동면,물건리,동부대로
종로아구찜골목,먹거리/패션거리,서울특별시,종로구,낙원동,,삼일대로
명월대,천연기념물,제주특별자치도,제주시,한림읍,명월리,하운당길
사주카페골목,먹거리/패션거리,서울특별시,서대문구,대현동,,
신천먹자골목,먹거리/패션거리,서울특별시,송파구,잠실동,,
장호원복숭아축제,지역축제,경기도,이천시,장호원읍,장호원리,서동대로8829번길
수성못막창거리,먹거리/패션거리,대구광역시,수성구,두산동,,
방이먹자골목,먹거리/패션거리,서울특별시,송파구,방이동,,
방배동카페골목,먹거리/패션거리,서울특별시,서초구,방배동,,
오현단,유명사적/유적지,제주특별자치도,제주시,이도일동,,
먹자골목,먹거리/패션거리,부산광역시,중구,창선동2가,,
사주카페골목,먹거리/패션거리,서울특별시,강남구,신사동,,압구정로50길
신사동먹자골목,먹거리/패션거리,서울특별시,서초구,잠원동,,강남대로97길
목석원,일반관광지,경상북도,안동시,풍천면,하회리,전서로
천호동먹자골목,먹거리/패션거리,서울특별시,강동구,천호동,,
무교동낙지골목,먹거리/패션거리,서울특별시,중구,무교동,,
제주관광안내소,관광안내소/매표소,제주특별자치도,제주시,용담이동,,용두암길
북창동먹자골목,먹거리/패션거리,서울특별시,중구,북창동,,남대문로1길
공주관광안내소,관광안내소/매표소,충청남도,공주시,금성동,,웅진로
창동로데오거리,먹거리/패션거리,서울특별시,도봉구,창동,,
화평동냉면골목,먹거리/패션거리,인천광역시,동구,화평동,,송화로
효자촌먹자골목,먹거리/패션거리,경기도,성남시 분당구,분당동,,불정로420번길
마포돼지갈비골목,먹거리/패션거리,서울특별시,마포구,용강동,,토정로
세계음식거리,먹거리/패션거리,서울특별시,용산구,이태원동,,우사단로
빌라촌음식골목,먹거리/패션거리,서울특별시,용산구,한남동,,독서당로
건대앞먹자골목,먹거리/패션거리,서울특별시,광진구,화양동,,능동로
평촌먹자골목,먹거리/패션거리,경기도,안양시 동안구,호계동,,
은행나무,천연기념물,전라북도,장수군,장수읍,장수리,호비로
서면1번가,먹거리/패션거리,부산광역시,부산진구,부전동,,새싹로
월곶포구,먹거리/패션거리,경기도,시흥시,월곶동,,월곶해안로
돼지국밥거리,먹거리/패션거리,부산광역시,부산진구,범천동,,
오동동아구찜거리,먹거리/패션거리,경상남도,창원시 마산합포구,동성동,,아구찜길
팔공산케이블카,일반관광지,대구광역시,동구,용수동,,팔공산로185길
문현동곱창골목,먹거리/패션거리,부산광역시,남구,문현동,,
봉황대,비/탑/문/각,충청남도,금산군,제원면,대산리,
봉산문화거리,먹거리/패션거리,대구광역시,중구,봉산동,,
노은단,서원/향교/서당,충청남도,홍성군,홍북읍,노은리,매죽헌길
의병승장비,천연기념물,충청남도,금산군,남이면,석동리,
의견비,비/탑/문/각,전라북도,임실군,오수면,대명리,
울기등대,일반관광지,울산광역시,동구,일산동,,등대로
남한산성마을,정보화마을,경기도,광주시,남한산성면,산성리,
성산먹거리촌,먹거리/패션거리,강원특별자치도,강릉시,성산면,구산리,구산길
구례석주관성,유명사적/유적지,전라남도,구례군,토지면,송정리,섬진강대로
교대곱창골목,먹거리/패션거리,서울특별시,서초구,서초동,,서초중앙로
상선암,유명관광지,충청북도,단양군,단성면,가산리,
녹전면의느티나무,천연기념물,경상북도,안동시,녹전면,사신리,
진도군관광안내소,관광안내소/매표소,전라남도,진도군,군내면,녹진리,진도대로
전북관광안내소,관광안내소/매표소,전라북도,전주시 완산구,서노송동,,기린대로
고인돌공원,천연기념물,전라북도,고창군,고창읍,도산리,
고드레미관광농원,관광농원/허브마을,강원특별자치도,홍천군,남면,남노일리,남노일로
맹방벚꽃길,먹거리/패션거리,강원특별자치도,삼척시,근덕면,상맹방리,
주문진남애일출,일반관광지,강원특별자치도,양양군,현남면,광진리,
담양관방제림,천연기념물,전라남도,담양군,담양읍,객사리,
우리별천문대,일반관광지,강원특별자치도,횡성군,공근면,상창봉리,영서로상창5길
베다니자연농장,관광농원/허브마을,강원특별자치도,정선군,정선읍,봉양리,관음동길
필경사,일반관광지,충청남도,당진시,송악읍,부곡리,
선화당,일반관광지,충청남도,공주시,웅진동,,관광단지길
목포시사,천연기념물,전라남도,목포시,산정동,,고하대로646번길
남사예담촌,일반관광지,경상남도,산청군,단성면,남사리,지리산대로2897번길
진해현관아,유명사적/유적지,경상남도,창원시 마산합포구,진동면,진동리,
지순택요,유명사적/유적지,경기도,이천시,신둔면,수광리,경충대로
김유정문학촌,일반관광지,강원특별자치도,춘천시,신동면,증리,실레길
물염적벽,천연기념물,전라남도,화순군,이서면,창랑리,
이팝나무,천연기념물,전라남도,함평군,손불면,양재리,
성산리지석묘군,일반관광지,전라남도,영광군,홍농읍,성산리,
충의사,일반관광지,충청남도,예산군,덕산면,시량리,덕산온천로
문화패션거리,먹거리/패션거리,부산광역시,중구,창선동1가,,광복중앙로
사랑바위,일반관광지,경상북도,울진군,금강송면,삼근리,
영랑호화랑도체험관광단지,일반관광지,강원특별자치도,속초시,장사동,,영랑호반길
마임의집,일반관광지,강원특별자치도,춘천시,옥천동,,서부대성로
제3땅굴,일반관광지,경기도,파주시,장단면,도라산리,
운암정,유명사적/유적지,강원특별자치도,횡성군,횡성읍,읍하리,
평화의관광지,일반관광지,강원특별자치도,화천군,화천읍,동촌리,
서하남주말농장,팜스테이,경기도,하남시,감북동,,감초로
제4땅굴,일반관광지,강원특별자치도,양구군,해안면,이현리,땅굴로
웰컴투동막골촬영지,드라마/영화촬영지,강원특별자치도,평창군,미탄면,율치리,
관광안내전시관,관광안내소/매표소,서울특별시,중구,다동,,청계천로
갑곶돈대,유명사적/유적지,인천광역시,강화군,강화읍,갑곳리,
학생예술체험장,일반관광지,경상북도,경주시,천북면,화산리,새터흥림길
태백현장학습관,일반관광지,강원특별자치도,태백시,소도동,,소도길
청학동휴양농장,관광농원/허브마을,경상남도,하동군,청암면,묵계리,삼신봉로
진산관광농원,관광농원/허브마을,경상남도,산청군,단성면,길리,지리산대로
맑은고을사과농장,관광농원/허브마을,전라북도,장수군,장수읍,식천리,
