이름,주소
부산 블루백팩커스 게스트하우스,부산광역시 부산진구 신천대로102번길 8-8 (부전동)
의왕 컬리넌,경기 의왕시 갈미안로 15 (내손동)
칠곡 석적 비너스,경상북도 칠곡군 석적읍 북중리1길 48
화성 스위스,경기도 화성시 송산면 송산포도로 309-4
대전 용전 KB,대전광역시 동구 동서대로1705번길 58-18
춘천 조히텔,강원도 춘천시 후석로370번길 8
울산 진하 호텔 빅토리아,울산광역시 울주군 서생면 깨목4길 12
부산 남포동 폭시,부산광역시 중구 중앙대로41번길 24
울산 일산 명품 코보스,울산 동구 해수욕장5길 30 (일산동)
오산 럭셔리 관광호텔,경기도 오산시 경기대로 231
강릉(정동진) M,강원도 강릉시 강동면 산성우리길 13
동해 리사호텔,강원특별자치도 동해시 천곡로 86-1 (리사모텔)
홍천 궁전,강원도 홍천군 북방면 영서로 2876
제주 돌과바람 호스텔,제주특별자치도 서귀포시 하신상로 166
서귀포 섬게스트하우스,제주특별자치도 서귀포시 칠십리로 61-1
역삼 아마레,서울 강남구 논현로 328 (역삼동)
대구 팔공산 1실 1주차(무인카) 스카이호텔,대구광역시 동구 팔공산로185길 33-8
부산 사상 에어텔,부산광역시 사상구 낙동대로1048번길 36
순천 비타민,전라남도 순천시 상풍길 34 (풍덕동)
평창 그린앤블루,강원도 평창군 대관령면 대관령로 56
포항 상도동 뉴그랜드,경상북도 포항시 남구 상도로42번길 16
대구 동성로 쇼&쿡,대구광역시 중구 국채보상로99길 46 (시장북로)
태릉 호텔 드씨엘(De Ciel),서울특별시 중랑구 동일로 866 (묵동)
거제도 사등 젠틀맨 드라이브인 무인텔,경상남도 거제시 사등면 성포로 280
음성 블랙&화이트,충청북도 음성군 대소면 신내로391번길 157
영천 썸 무인텔,경상북도 영천시 오수1길 44
증평 태평,충청북도 증평군 증평읍 윗장뜰길 29
광주 중흥동 GO,광주광역시 북구 경양로165번길 21 (중흥동)
전주 덕진동 호텔 스마일(HOTEL SMILE),전라북도 전주시 덕진구 송천중앙로 12-12 (덕진동2가)
신당 A (에이),서울특별시 중구 퇴계로76길 30
월곶 선샤인,경기도 시흥시 월곶중앙로14번길 46
안동 파크호텔,경상북도 안동시 경동로 707
홍천 알프스,강원도 홍천군 홍천읍 홍천로 281
인천(선재도) 짝,인천광역시 옹진군 영흥면 선재로186번길 72
강릉 썬,강원도 강릉시 강동면 안인일출길 46
목포 비너스,전라남도 목포시 삼향천로 57
광주 첨단 K,광주광역시 광산구 임방울대로 825번길 22-7
제주 다이아몬드호텔,제주특별자치도 제주시 신대로12길 42 (연동)
순천 사모아,전남 순천시 장천2길 30
보성 관광모텔,전라남도 보성군 보성읍 현충로 6
부천 레드,경기도 부천시 부일로432번길 20 (심곡동)
인천(동인천) 테마,인천광역시 중구 우현로62번길 3-1 (용동)
부산 강서 신호동 호텔 더메이,부산광역시 강서구 신호산단1로217번길 27
인천(동인천) ING,인천광역시 중구 개항로 53-9
울산 삼산 알리바바 HOTEL,울산 남구 삼산로 406 (삼산동)
포천(송우리) 발트 호텔,경기도 포천시 소흘읍 솔모루로81번길 6
광주 충장로 호텔 듀(HOTEL DUU),광주광역시 동구 구성로144번길 9
부산 구포 캣츠,부산광역시 북구 낙동대로1694번나길 21
부산 영도 M,부산광역시 영도구 하리해안길 6-13
울산 정자동 더힐,울산광역시 북구 동해안로 1525
대구 엑스코 리드 호텔(EXCO LEAD),대구광역시 북구 유통단지로13길 13-11 (산격동)
논산 로망스,충청남도 논산시 중앙로 456-1
대구 가창 레드,대구 달성군 가창면 가창로 178
경산 쉼표,경상북도 경산시 원효로 28-4 (중방동)
남해 호텔 어반아일랜드,경상남도 남해군 창선면 서부로 1503-22
여수 오페라,전남 여수시 돌산읍 강남1길 39-17
인천(부평) 레이크,인천광역시 부평구 경원대로1367번길 26-10
대전 신탄진 페이지,대전광역시 대덕구 신탄진동로35번길 9
광주 상무 호텔 하바나(HOTEL HAVANA),광주광역시 서구 상무중앙로78번길 20
광주 백운동 프린스,광주광역시 남구 독립로 9-14
문경 온천 호텔,경상북도 문경시 문경읍 온천2길 5
서울 아띠 게스트하우스,서울특별시 중구 서애로 22-1 (필동3가)
부산 서면 상큼,부산광역시 부산진구 부전로140번길 16
창원 진해 파스타,경남 창원시 진해구 제황로80번길 9 (충무동)
김해 장유 나인,경상남도 김해시 번화1로67번길 6 (대청동)
경주 아루 미니호텔,경상북도 경주시 충효중앙길 67
중랑 T,서울특별시 중랑구 중랑역로 4 (중화동)
연천 홀인원,경기도 연천군 전곡읍 선사로 183-3
동두천 카라,경기도 동두천시 중앙로273번길 21
전주 색동저고리 한옥스테이,전라북도 전주시 완산구 전주천동로 64-10 (교동)
목포 샤르망,전라남도 목포시 신흥로59번길 5
대전 유성 파로스,대전 유성구 한밭대로492번길 26-28 (봉명동)
청도 오로라호텔,경상북도 청도군 화양읍 삼신길 31
대전 둔산 500호,대전광역시 서구 둔산로65번길 39
대전 중리 피닉스,대전광역시 대덕구 중리로7번길 14-23
양평 COZY,경기도 양평군 서종면 북한강로 995
양평 허브,경기도 양평군 개군면 개군로 131
대전 중리 드래곤캐슬,대전광역시 대덕구 중리로7번길 14-9 (중리동)
대전 신탄진 스카이,대전광역시 대덕구 신탄진동로23번길 43 (신탄진동)
대전 신탄진 블루,대전광역시 대덕구 신탄진동로35번길 5 (신탄진동)
이천 G,경기도 이천시 부발읍 경충대로 1732-1
역삼 인트로 호텔,서울 강남구 테헤란로37길 13-11 (역삼동)
부산 광안리 넘버25 광안점,부산광역시 수영구 광안해변로284번길 16
대전 중리 호텔 아트빈,대전광역시 대덕구 한밭대로1149번길 21 (중리동)
무주 그린,전라북도 무주군 무주읍 주계로 137
부산 수영 호텔 스미스,부산광역시 수영구 수영로 690-10
강릉 HOTEL Vv,강원도 강릉시 하슬라로192번길 22-1 (교동)
창원 봉곡동 롤,경상남도 창원시 의창구 원이대로261번길 6-30 (봉곡동)
아산 호텔 아트리움,충청남도 아산시 온화로17번길 11
부산 서면 퀸스호텔,부산광역시 부산진구 부전로 56
전주 중앙동 한옥호텔 궁,전북 전주시 완산구 풍남문4길 25-19 (중앙동4가)
아산 레인보우,충청남도 아산시 음봉면 아산온천로243번길 78-3
안동 고타야 게스트하우스,"경상북도 안동시 동흥1길 20 (동부동, 고타야)"
노원 럭스,서울 노원구 노해로75길 14-3 (상계동)
통영 민 게스트하우스,경상남도 통영시 안개로 14-14 (무전동)
수원시청역 갤러리아호텔,경기도 수원시 권선구 효원로266번길 23 (권선동)
울산 삼산 샵,울산광역시 남구 산업로647번길 23
전주 민트 게스트하우스,전라북도 전주시 완산구 서학로 27-2 (동서학동)
경산 인스타호텔,경상북도 경산시 중앙로14길 7-1
부산 송정 하루,부산광역시 해운대구 송정중앙로15번길 19 (송정동)
역삼 카파스,서울 강남구 언주로89길 21 (역삼동)
남원 초콜릿,전라북도 남원시 충정로 220-9 (도통동)
울산 삼산 솜누스,울산광역시 남구 삼산로395번길 12
속초 리츠호텔,강원 속초시 영금정로 27 (동명동)
부여 수 모텔,충청남도 부여군 부여읍 사비로99번길 8-6
인천(주안) 보스코,인천광역시 미추홀구 미추홀대로722번길 33
인덕원 체스 호텔,경기도 안양시 동안구 인덕원로30번길 73
제주 사모아모텔,제주특별자치도 제주시 임항로 16 (건입동)
대전 신탄진 로하스,대전광역시 대덕구 신탄진동로23번길 77 (신탄진동)
대구 동대구역 WIN,대구광역시 동구 신암남로 128
안동 해피큐,경상북도 안동시 광석4길 11 (광석동)
대전 유천 럭키,대전광역시 중구 유천로 57 (유천동)
제주 마로호스텔,제주특별자치도 제주시 동광로21길 5 (일도2동)
경주 옥산서원길 게스트하우스,경상북도 경주시 안강읍 옥산서원길 217
종로 우미관,서울특별시 종로구 종로14길 4 (관철동)
부산 광안리 J,부산광역시 수영구 수영로 589-1 (광안동)
경주 감포 자자,경상북도 경주시 감포읍 동해안로 2458
경주 하라,경상북도 경주시 영불로 236
김해 장유 휴앤 호텔,경상남도 김해시 번화1로56번길 31
전주 금암동 스토리 무인텔,전라북도 전주시 덕진구 용산2길 8
청주 위드스테이호텔 청주성안점,충청북도 청주시 상당구 남사로83번길 36-10 (서문동)
부천 유앤미,경기 부천시 부천로6번길 30 (심곡동)
양산 평산 르이데아,경상남도 양산시 평산중앙1길 6
부산 송정 GO,부산광역시 해운대구 송정중앙로39번길 2-18
인천(강화도) 자유공간,인천광역시 강화군 선원면 중앙로 169
포천(일동) 하이트,경기도 포천시 일동면 성장로 499
일산(탄현) 더휴식 아늑,경기도 고양시 일산서구 일현로41번길 8-32
인천(부평) 굿타임,인천광역시 부평구 경원대로1417번길 18-9
대전 유성 자우리,대전 유성구 대학로 47-18 (봉명동)
순천 브라운,전라남도 순천시 상풍길 33
여수 호텔 앙코르,전라남도 여수시 시청동2길 33
아산 카네기,충청남도 아산시 번영로234번길 6 (모종동)
포항 대도동 화이트,경상북도 포항시 남구 문예로100번길 8
포천 석화모텔,경기도 포천시 영북면 운천로34번길 5-1
광주 상무 호텔 스테이53,광주광역시 서구 상무연하로 6 (치평동)
고성 와와텔,경상남도 고성군 상리면 상정대로 1885-14
구례 산동 약수장,전라남도 구례군 산동면 지리산온천로 146
전주 신시가지 쿡,전라북도 전주시 완산구 홍산북로 84-10
일산(대화) 라트리,경기도 고양시 일산서구 중앙로 1560-22 (대화동)
대전 오정 Q,대전광역시 대덕구 오정로76번길 77 (오정동)
대전 유성 젠,대전광역시 유성구 계룡로155번길 26-7
부산 하단 퍼블릭,부산광역시 사하구 하신번영로300번길 100-5 (하단동)
해남 월드 펜션,전라남도 해남군 삼산면 대흥사길 154-8
삼성 캘리포니아,서울 강남구 선릉로100길 52 (삼성동)
김해 장유 호텔 런더너,경상남도 김해시 번화1로75번길 23 (대청동)
부산 연산 토곡 브라운도트 연산토곡점,부산 연제구 과정로191번길 47 (연산동)
영천 휴,경상북도 영천시 완산중앙3길 42
서산(대산) 그린호텔,충청남도 서산시 대산읍 충의로 1853-1
세종 이브,세종특별자치시 연서면 대첩로 144
사천 호텔 OK,경상남도 사천시 사천읍 진삼로 1485-9
남원 발리,전라북도 남원시 옥정4길 5
창원 마산 붐,경상남도 창원시 마산합포구 해안대로 396
하동 성운각,경상남도 하동군 화개면 화개로 48
용인 SR디자인 호텔,경기 용인시 처인구 금령로90번길 5 (김량장동)
양산 석산 S,경상남도 양산시 동면 금오10길 43-23
춘천 드라마,강원도 춘천시 서부대성로44번길 16
창원 마산 바다뷰,경상남도 창원시 마산합포구 진전면 회진로 1398-135 (바다모텔)
거제도 장승포 휴,경남 거제시 장승포해안로 10
부산 광안리 블루문,부산광역시 수영구 광안로62번길 38 (광안동)
서천 소곡스테이,충청남도 서천군 마서면 장산로 763
대전 월평 디엠프레스 호텔,대전광역시 서구 한밭대로570번길 29-20(월평동)
담양 노라 무인텔,전라남도 담양군 금성면 금성산성길 282-28
진주 B&W,경상남도 진주시 진주대로 1200
성남 YAJA 수진역점,경기 성남시 중원구 산성대로 164 (성남동)
부산 하단 츄츄,부산광역시 사하구 낙동남로1423번길 33
청주 더 잠 (The Zam),충청북도 청주시 청원구 내덕로8번길 16
통영 필,경상남도 통영시 광도면 죽림5로 25-61
경주 불국사 W,경상북도 경주시 영불로 246 (진현동)
거제도 해금강 파타야,경상남도 거제시 남부면 해금강2길 1-1
파주(금촌) 백두,경기도 파주시 금정로 80-12 (성심모텔)
군산 뉴폭스,전라북도 군산시 소룡1길 60
안동 연,경상북도 안동시 서부시장2길 55
익산 엠플러스,전라북도 익산시 목천로7길 6 (인화동1가)
속초 하루 게스트하우스,강원도 속초시 장안로 19-1 (동명동)
양양 파티 게스트하우스 낙산점,강원도 양양군 강현면 해맞이길 4
익산 환타지아,전라북도 익산시 목천로1길 12-6
시흥 팜,경기도 시흥시 옥구상가4길 24-6 (정왕동)
울산 진하 아리아나,울산광역시 울주군 서생면 깨목길 29
김천 스테이 칸,경상북도 김천시 남면 운남로 238-16
부산 당리 오투,부산광역시 사하구 낙동대로 391 (당리동)
포항 대잠동 비즈니스 A,경상북도 포항시 남구 새천년대로 436 (대잠동)
진주 폴럭스 호텔,경상남도 진주시 상대로 57-3
신림 러브,서울특별시 관악구 신림로65길 16-11
경주 나인,경상북도 경주시 충효중앙길 83
서울역 계림,서울특별시 용산구 만리재로36길 5
부산 연산동 아이엔 호텔,부산광역시 연제구 월드컵대로120번길 14
파주 호텔 CC,경기도 파주시 탄현면 엘씨디로241번길 39-45
신림 더스토리,서울 관악구 신림동1길 4 (신림동)
부산 광안리 호텔 마레,부산광역시 수영구 남천바다로 30
익산 서동,전라북도 익산시 중앙로1길 46-3 (남중동)
순천 단꿈스테이,전라남도 순천시 역전길 63
전주 우아동 호텔 라임(HOTEL LIME),전북 전주시 덕진구 아중4길 13-3
울산 영남알프스 쿡온천,울산광역시 울주군 상북면 알프스온천2길 85-13
울릉 아라 호텔,경상북도 울릉군 울릉읍 봉래2길 20-12
경산 SOME (썸),경상북도 경산시 중앙로18길 33
동해 별 무인텔,강원도 동해시 부곡로 9 (부곡동)
울릉 황제 호텔,경상북도 울릉군 울릉읍 봉래2길 22
대전 산내 TWO 무인텔,대전광역시 동구 물류로13번길 63
면목 597,서울특별시 중랑구 동일로 597
전주 우아동 월드,전라북도 전주시 덕진구 동부대로 700-11
광주 상무 M,광주광역시 서구 상무평화로 130
영주 모텔2010,경상북도 영주시 풍기읍 죽령로 1706
완도 XYM,전라남도 완도군 완도읍 중앙길 21
산본 CF,경기도 군포시 번영로 497 (금화프라자)
김제 준 드라이브인 무인텔,전라북도 김제시 황산면 풍요로 516-9 516-11
함안 The Moon(더문),경상남도 함안군 가야읍 중앙남1길 25-13
노원 에이플러스 호텔,서울특별시 노원구 노해로75길 20-21
종로(동묘앞역) 호텔아라,서울특별시 종로구 난계로29길 60 (숭인동)
금호 스타장,서울특별시 성동구 독서당로 315-9
가평 썬파인,경기도 가평군 설악면 한서로 434
독산 휴,서울특별시 금천구 독산로 327 (독산동)
부산 서면 더블린,부산광역시 부산진구 가야대로784번길 56-12
부산 연산 샤이어,부산광역시 연제구 반송로 18-6 (연산동)
태안 (펜션형) 파인트리 무인텔,충청남도 태안군 태안읍 안면대로 70-1
천안 티파니,충청남도 천안시 동남구 먹거리5길 16 (첼로파크)
미아 9 모텔,서울특별시 강북구 도봉로6길 32 (미아동)
천안(신부동) 뷰,충청남도 천안시 동남구 먹거리5길 18
경주 조이(JOY),경상북도 경주시 안강읍 화전중앙길 5
부산 사상 비치,부산광역시 사상구 사상로 224 (괘법동)
여주 리버뷰 모텔,경기도 여주시 강변유원지길 78-37
제주 삼다호텔,제주특별자치도 제주시 서해안로 456-6 (용담3동)
담양 굿비즈니스 호텔,전라남도 담양군 가사문학면 가사문학로 1157
여주 썬 모텔,경기도 여주시 강변유원지길 17
포항 죽도동 갤러리 호텔,경상북도 포항시 북구 중흥로101번길 16-8 (죽도동)
안산 건건동 오투(O2),경기도 안산시 상록구 건지미길 15-24
부산 하단 해원,부산광역시 사하구 낙동남로1389번길 10-5
부천 돈키호텔1,경기도 부천시 부일로432번길 36 (심곡동)
익산 뚜벅텔 모현점,전라북도 익산시 배산로6길 25 (모현동1가)
진주 뉴월드,경상남도 진주시 순환로573번길 5
부산 명지 넘버25 명지오션시티점 비즈니스,부산광역시 강서구 명지오션시티3로 41 (명지동)
횡성 코레스코 치악산 콘도,강원도 횡성군 우천면 전재로 254
군산 호텔 MH,전라북도 군산시 장미2길 10
경산 호텔 하루,경상북도 경산시 중앙로 72-6
전주 우아동 하얏트,전라북도 전주시 덕진구 도당산로 65
창원 상남동 찰리스,경남 창원시 성산구 마디미로64번길 1 (상남동)
당진 예그린,충청남도 당진시 신평면 거산3거리길 11-11
전주 우아동 센트,전라북도 전주시 덕진구 동부대로 673-6 (우아동3가)
부산 기장 드림,부산광역시 기장군 기장읍 차성로 398
전주 우아동 필,전라북도 전주시 덕진구 도당산로 65-4
부산 사상 블랙,부산광역시 사상구 사상로212번길 21
부산역 플러스,부산광역시 동구 중앙대로241번길 5 (초량동)
산본 YAJA 산본역점,경기 군포시 번영로 515 (산본동)
남원 다빈치,전라북도 남원시 충정로 88 (향교동)
부산 광안리 누리 호텔,부산광역시 수영구 남천바다로33번길 86
춘천 HOTEL 라벤다,강원도 춘천시 남춘로5번길 10-2 (퇴계동)
창녕 남지 토마토 호텔,경상남도 창녕군 남지읍 남지중앙1길 53-3
원주 뉴스카이,강원도 원주시 태장둔치길 5
춘천 세그루 게스트하우스,강원도 춘천시 서면 금산2길 22-3
여수 모이리 게스트하우스,전라남도 여수시 봉산남6길 11-17
영천 에코,경북 영천시 금호읍 금호로 368
안산 Boutique Hotel 레니엘,경기도 안산시 단원구 고잔2길 65 (고잔동) 7층
의왕 IMT,경기도 의왕시 갈미안로 9 (IMT호텔)
화곡 파스텔,서울특별시 강서구 강서로7길 23
수원(영화동) 허브,경기도 수원시 장안구 팔달로279번길 31 (영화동)
대구 현풍 더 디종호텔,대구광역시 달성군 현풍읍 테크노공원로 31
나주 벌꿀 호텔,전라남도 나주시 영산포로 293
파주 하이무인텔,경기도 파주시 탄현면 필승로 487-21
광명(철산) 블랑,경기 광명시 디지털로 17 (철산동)
공주(동학사) 명작무인텔,충청남도 공주시 반포면 임금봉길 49-16
창원 마산 화이트,경상남도 창원시 마산합포구 월영동11길 5 (해운동)
광주 첨단 HOTEL VIEW(뷰),광주광역시 광산구 임방울대로826번길 22-19
성남 하이눈,경기도 성남시 수정구 성남대로1226번길 3
부산 송도 휴,부산광역시 서구 충무대로34번길 37-2
안성 뉴리베라,경기도 안성시 공도읍 서동대로 4334-7
전주 대명여관 게스트하우스,전라북도 전주시 완산구 풍남문4길 25-10 (중앙동4가)
곡성 에이스 무인텔,전라남도 곡성군 오곡면 섬진강로 1080-1
인천(석남동) 스위치,인천광역시 서구 옻우물로 16
대구 대명동 그린빌,대구광역시 남구 대명로 129-2 (대명동)
부산 괴정 로망스,부산광역시 사하구 사하로 201-5 (괴정동)
서울대입구 린,서울특별시 관악구 남부순환로220길 34 (베스테이린빌딩)
파주 시크릿,경기도 파주시 탄현면 엘씨디로241번길 50-3
부산 용호동 아데나 호텔,부산광역시 남구 동명로132번길 21 (Motel BOBOS)
광양 J 무인텔,전라남도 광양시 광양읍 예구10길 61
부산 동래 락,부산광역시 동래구 명륜로 125
사천 다이아몬드,경상남도 사천시 사천읍 역사길 19
창원 마산 합성동 샾,경상남도 창원시 마산회원구 합성남7길 33
창원 상남동 마틴(MARTIN),경상남도 창원시 성산구 마디미로 10 (상남동)
함안 락 무인텔,경상남도 함안군 군북면 장백로 299-48
창원 마산 합성동 와(WA),경남 창원시 마산회원구 합성남3길 25
목동 ADO HOTEL(아도),서울특별시 양천구 오목로 153 (신정동)
대부도 뷰,경기 안산시 단원구 대부황금로 95-8 (선감동)
양평 리베리온 호텔,경기 양평군 서종면 북한강로 1005
창원 진해 38.5c,경상남도 창원시 진해구 충장로82번길 15 (송학동)
고창 호텔 모양성,전라북도 고창군 고창읍 중앙로 331
대구 동대구역 오션,대구광역시 동구 동부로24길 41
인천(경인교대) 어썸호텔,인천광역시 계양구 계산천동로 11-2
시흥 세븐헤르츠,경기 시흥시 중심상가로 202-10 (정왕동)
인천(부평) Boutique노리터 호텔,인천 부평구 시장로12번길 28 (부평동)
부산 남포동 프린스,부산광역시 중구 광복로 16-1 (부평동1가)
창원 북면 바오밥,경상남도 창원시 의창구 북면 천주로 1165번길13
공주 뮤,충청남도 공주시 시목길 49
창원 명서동 호텔 잇츠,경상남도 창원시 의창구 창이대로95번길 9 (명서동)
수원(연무동) 나무,경기도 수원시 장안구 창훈로80번길 18 (연무동)
김천 원,경상북도 김천시 부곡중앙길 6-7
울산 삼산 YAM 울산삼산점 (태화강 인근),울산 남구 삼산로402번길 7 (삼산동)
김천 아미가,경상북도 김천시 부곡중앙2길 17 (부곡동)
구미 인동 호텔여기어때 2호점,경상북도 구미시 인동중앙로3길 44-3
전주 덕진동 호텔 히든(HOTEL HIDDEN),전라북도 전주시 덕진구 덕진연못2길 9-5
대구 동대구역 로열호텔,대구시 동구 동부로 41
대구 범어 프린스,대구광역시 수성구 상록로 14 (범어동)
대구 본리동 온(ON),대구광역시 달서구 대명천로 203
구례 노고단 게스트하우스,전남 구례군 산동면 하관1길 40
제주 미소 게스트하우스,제주특별자치도 제주시 관덕로 41 (일도1동)
전주 우아동 청담,전라북도 전주시 덕진구 우아3길 13
부산 온천장 MVG,부산광역시 동래구 금강로62번길 38-4 (온천동)
김해 장유 초코렛,경상남도 김해시 삼문로 5(대청동)
안산 와(WA),경기 안산시 단원구 중앙대로 907 (고잔동)
부산 사상 캄레스트 호텔,부산광역시 사상구 학감대로237번길 12 (감전동)
울산 삼산 명품 코보스,울산광역시 남구 삼산로383번길 6-4
대구 팔공 에밀리아호텔,대구광역시 동구 팔공산로 1121 (용수동)
안성 W,경기도 안성시 죽산면 죽양대로 139
익산 마리,전북 익산시 배산로6길 26 (송학동)
안동 카라,경상북도 안동시 중앙로 54
구미 원평동 유토피아,경상북도 구미시 송원서로6길 19-4
포천 드라이브인 솔 무인텔,경기 포천시 소흘읍 광릉수목원로 724-26
건대 스테이,서울특별시 성동구 광나루로9길 6
구미 원평동 호텔여기어때 1호점,경상북도 구미시 구미중앙로33길 26
대전 용문 보보스 더 스마트,대전 서구 용문로 41-54 (괴정동)
여수 아리랑힐,전라남도 여수시 성산3길 21-4 (화장동)
정읍 H,전라북도 정읍시 중앙로 199 (시기동)
경주 엔젤,경상북도 경주시 화랑로 43-7
울산 일산 VIP 호텔,울산광역시 동구 해수욕장2길 69 (일산동)
대구 동천동 스위트호텔(Sweet hotel),대구광역시 북구 동천로 138-14
경주 카리브,경상북도 경주시 양남면 동해안로 415-5
울산 신정동 비너스,울산광역시 남구 두왕로329번길 8 (신정동)
대구 동성로 B&B(비앤비),대구광역시 중구 중앙대로81길 104 (남성로)
안동 호텔궁,경상북도 안동시 앙실로 37 (수상동)
순천 9to9,전라남도 순천시 하풍동길 1
창원 북면 아테네,경상남도 창원시 의창구 북면 천주로1165번길 51
부안 명성,전라북도 부안군 부안읍 석정로 205-27 (명성모텔)
창원 마산 에로스,경상남도 창원시 마산합포구 산호북19길 20 (산호동)
거제도 장승포 라이트하우스호텔,경상남도 거제시 장승포로 101
정읍 애플,전라북도 정읍시 연지1길 56
부안 피아노,전라북도 부안군 부안읍 석정로 202
정읍 아쿠아,전라북도 정읍시 명덕로 65-11 (연지동)
부안 변산 호텔 원,전라북도 부안군 변산면 채석강길 33
김포 The H,경기도 김포시 중구로 51 (북변동)
군산 피카소,전라북도 군산시 장미2길 8 (장미동)
서귀포 캘리포니아호텔,제주특별자치도 서귀포시 김정문화로27번길 14-4 (강정동)
제주 송원모텔,제주특별자치도 서귀포시 천지로 31 (서귀동)
성남 BOX,경기 성남시 수정구 탄리로74번길 7 (태평동)
서귀포 퍼블리코,제주특별자치도 서귀포시 신서로48번길 20-9
충주 로망스,충청북도 충주시 봉방5길 2
서귀포(성산) 프린스,제주특별자치도 서귀포시 성산읍 동류암로36번길 2
여수 엑스포,전라남도 여수시 관문서2길 7
장흥 피아노,전라남도 장흥군 장흥읍 물레방앗간길 17
제주 영성모텔,제주특별자치도 제주시 동문로10길 1
의왕 로블,경기도 의왕시 갈미안로 17
시흥 YAJA 시흥정왕점,경기 시흥시 옥구상가4길 8-6 (정왕동)
부산 구포 이데아,부산 북구 구포만세길 143 (구포동)
제주 세종호텔,제주특별자치도 제주시 신광로 74
부산 송정 베이 호텔,부산광역시 해운대구 해운대로1105번길 9 (송정동)
전주 중화산동 화려한외출Ⅱ,전라북도 전주시 완산구 한두평2길 8-11 (중화산동2가)
제주 메이저호텔1,제주특별자치도 제주시 사장3길 36 (연동)
평택 월 호텔,경기도 평택시 평택5로96번길 35 (비전동)
아산 시크릿 무인텔,충청남도 아산시 음봉면 아산온천로157번길 7-16
순천 젠틀맨 무인호텔,전라남도 순천시 역전길 42 (조곡동)
안동 옥동 사파이어,경상북도 안동시 옥동길 97-10 (옥동)
안동 W(더블유),경상북도 안동시 중앙로 85 (동문동)
전주 서노송동 코아,전라북도 전주시 완산구 팔달로 286-7 (서노송동)
완주 샵,전라북도 완주군 구이면 덕골길 11-5
경산 투데이,경상북도 경산시 중앙로18길 28
수유 짝,서울특별시 강북구 오패산로79길 19 (짝모텔)
부산 영도 비치,부산광역시 영도구 하리해안길 10-9
병점 시네마,경기도 화성시 효행로 1068 (병점동)
천안 그린힐,충남 천안시 동남구 목천읍 목천안터2길 7
창원 진해 올리브,경상남도 창원시 진해구 충장로364번길 5-6
울산 삼산 판도라호텔,울산광역시 남구 삼산로392번길 8
원주 리베라,강원도 원주시 청솔길 21 (행구동)
상봉 칼튼,서울특별시 중랑구 상봉로26길 23 (망우동)
월곡 갤럭시2,서울특별시 성북구 월곡로 112 (하월곡동)
신천 라비앙호텔,서울 송파구 올림픽로12길 4-15 (잠실동)
인천(석남동) STAY HOTEL,인천광역시 서구 칠천왕로7번길 3 (석남동)
성남 모란 HOTEL JOY,경기도 성남시 중원구 성남대로1148번길 31 (성남동)
창원 마산 에이블,경남 창원시 마산합포구 오동동5길 16 (오동동)
창녕 남지 M,경상남도 창녕군 남지읍 남지중앙1길 59-5
순천 썬,전라남도 순천시 장천1길 14-1
대구 경북대 프렌즈,대구광역시 북구 대현로 50 (대현동)
익산 뚜벅텔2,전라북도 익산시 목천로9길 11
대구 태전동 2SOME(투썸),대구 북구 칠곡중앙대로46길 9
대구 대명동 카라,대구광역시 남구 대명로 234-2
익산 더웨이호텔 (THE WAY HOTEL),전라북도 익산시 인북로6길 46
의왕 시저,경기도 의왕시 갈미안로 11
파주 칼튼호텔,경기 파주시 탄현면 성동로 34
임실 미 무인호텔,전라북도 임실군 관촌면 춘향로 3076-44
경주 까사 미니호텔 & 게스트하우스,경상북도 경주시 금성로259번길 28
목포 호텔 더하루 (평화광장),전라남도 목포시 평화로73번길 3
여주 꿈 무인텔,경기도 여주시 가남읍 은봉길 26
부산 해운대 리엔(LIEN) 호텔,부산광역시 해운대구 해운대로594번가길 4 (더블유모텔)
광주 첨단 탑,광주광역시 광산구 임방울대로801번길 35-10
울산 삼산 터마루,울산광역시 남구 왕생로171번길 4
산청 서울,경상남도 산청군 신안면 원지강변로 39 (서울파크)
순천 별빛내리는 무인텔 (드라이브인),전라남도 순천시 상풍길 23 (풍덕동)
제주 퀸 무인텔,제주특별자치도 제주시 애월읍 평화로 2540
제주 슬림 호텔,제주특별자치도 제주시 서광로 292-1
울산 삼산 자바,울산광역시 남구 왕생로45번길 16
완주 유황온천,전라북도 완주군 구이면 덕골길 9
미아 담스,서울특별시 강북구 도봉로 32 (미아동)
YAM 포항터미널점,경북 포항시 남구 새천년대로450번길 3 (대잠동)
여수 25,전라남도 여수시 여문문화2길 65
경주 데이스위트,경상북도 경주시 태종로791번길 22-3
완주 나리,전라북도 완주군 구이면 덕골길 11-6
강릉 봉모텔,강원도 강릉시 옥천로62번길 18 (교동)
속초 몰디브,강원도 속초시 청호로1길 27 (조양동)
인제 호텔여행,강원도 인제군 인제읍 이평로 15
천안 CC 모텔,충청남도 천안시 서북구 성거읍 망향로 405
전주 한옥마을 독채 강령전,전라북도 전주시 완산구 태조로 26-24
청주 호텔 69,충청북도 청주시 상당구 월평로184번길 28
부산 사상 YAJA 사상 터미널점,부산 사상구 광장로81번길 72
울산 정자동 베니스,울산광역시 북구 산하중앙1로 24
창원 마산 젠,경상남도 창원시 마산회원구 양덕남9길 53
창원 마산 제일,경상남도 창원시 마산회원구 양덕남9길 53-12 (양덕동)
대구 수성못 아이(I),대구광역시 수성구 수성로 21 (상동)
